method,backbone_name,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.05,0.5,0.5,minmax,0.6890744671647554,0.5878583333333333,0.375,0.7415,0.5863998970178634,0.6653866892220719,1.0,2.511,2.0,6.0,6.0,6.0,True,0.6083333333333334,0.909,0.5302666666666667,0.18027885823474055,0.06582963405381739,0.10516998276672412
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.1,0.5,0.5,minmax,0.6865630799271312,0.584625,0.3715,0.735,0.5813344321410777,0.6618066804231236,1.0,2.5315,2.0,6.0,6.0,6.0,True,0.593,0.8975,0.5456666666666665,0.18027885823474055,0.061945132351907045,0.09909133636221218
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.2,0.5,0.5,minmax,0.677953596941066,0.5732916666666668,0.354,0.7245,0.5688401243071494,0.6491008147853163,1.0,2.5835,2.0,6.0,6.0,6.0,True,0.5839166666666666,0.8915,0.5646666666666667,0.18027885823474055,0.04862836828983602,0.07778474071753126
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.5,0.5,0.5,minmax,0.6501621231799776,0.536875,0.308,0.6845,0.5249236160321493,0.6197064086822416,1.0,2.749,2.0,6.0,6.0,6.0,True,0.5728333333333333,0.871,0.5819999999999999,0.18027885823474055,0.005641756943641811,0.009321635594548142
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.0,0.75,0.25,minmax,0.6766599846038873,0.5713833333333334,0.3485,0.73,0.5694947730750067,0.6506568599450017,1.0,2.572,2.0,6.0,6.0,6.0,True,0.4533333333333333,0.7765,0.6953999999999999,0.18027885823474055,0.04662746645753369,0.07419708600971349
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.05,0.75,0.25,minmax,0.6802807752969892,0.5762916666666666,0.3585,0.7305,0.5733045457857207,0.6535652362638875,1.0,2.5625,2.0,6.0,6.0,6.0,True,0.4904166666666666,0.829,0.6590666666666666,0.18027885823474055,0.0522279439143359,0.08342472191759372
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.1,0.75,0.25,minmax,0.6755524513380103,0.5700166666666666,0.3475,0.7255,0.5667447730750067,0.6468777727758146,1.0,2.5875,2.0,6.0,6.0,6.0,True,0.48158333333333325,0.813,0.6693333333333332,0.18027885823474055,0.044914383428453976,0.07162776124079592
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.2,0.75,0.25,minmax,0.6721046245327382,0.5655083333333334,0.3415,0.72,0.5611911677053639,0.6434299459705424,1.0,2.6095,2.0,6.0,6.0,6.0,True,0.479,0.8185,0.6754666666666665,0.18027885823474055,0.039581438794379344,0.0631521228262575
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.5,0.75,0.25,minmax,0.6628923611190851,0.55385,0.335,0.6925,0.5410488536196489,0.6322585430277952,1.0,2.6965,2.0,6.0,6.0,6.0,True,0.4984166666666666,0.8445,0.673,0.18027885823474055,0.02533232086757384,0.041234529218236
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,bm25,0.0,0.9,0.09999999999999998,minmax,0.6711537545942731,0.5641583333333333,0.3385,0.723,0.5613220974589354,0.6439039047805095,1.0,2.6055,2.0,6.0,6.0,6.0,True,0.39875,0.7065,0.7351333333333333,0.18027885823474055,0.03811067560862807,0.06061413128622916
